window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2010,E8,Duke,1,3,0.9141414141414143,-235,195,-4.5,7,True,True,False
all_prior,2010,R64,Kentucky,1,16,0.8988070752776635,-6000,3500,-18.5,29,True,True,False
all_prior,2010,R64,Texas,8,9,0.8628593628593628,-245,205,-5.5,-1,False,False,False
all_prior,2010,R64,Temple,5,12,0.8333333333333334,-165,145,-3.0,-13,False,False,False
all_prior,2010,R64,Wisconsin,4,13,0.7222222222222222,-700,500,-10.5,4,True,False,False
all_prior,2010,R64,Washington,11,6,0.7037037037037037,-102,-118,1.0,2,True,True,False
all_prior,2010,R64,New Mexico,3,14,0.8988070752776635,-440,350,-8.5,5,True,False,False
all_prior,2010,R64,Clemson,7,10,0.7307692307692307,-132,112,-2.0,-8,False,False,False
all_prior,2010,R64,West Virginia,2,15,0.8628593628593628,-2700,1700,-16.5,27,True,True,False
all_prior,2010,R32,Kentucky,1,9,0.8115773115773116,-600,450,-9.5,30,True,True,False
all_prior,2010,R32,Wisconsin,4,12,0.9141414141414143,-200,170,-4.0,-18,False,False,False
all_prior,2010,R32,Washington,11,3,0.5185185185185186,-135,115,-2.5,18,True,True,False
all_prior,2010,R32,West Virginia,2,10,0.5893550893550893,-270,230,-6.0,9,True,True,False
all_prior,2010,S16,Kentucky,1,12,0.8179989944695826,-500,400,-8.5,17,True,True,False
all_prior,2010,S16,Washington,11,2,0.5185185185185186,167,-192,4.5,-13,False,False,False
all_prior,2010,E8,Kentucky,1,2,0.6851851851851851,-205,175,-4.5,-7,False,False,False
all_prior,2010,R64,Syracuse,1,16,0.8988070752776635,-2800,1800,-15.5,23,True,True,False
all_prior,2010,R64,Florida St.,9,8,0.5740740740740742,-118,-102,-1.0,-7,False,False,False
all_prior,2010,R64,UTEP,12,5,0.6666666666666667,130,-150,2.5,-18,False,False,False
all_prior,2010,R64,Vanderbilt,4,13,0.8389780154486037,-145,125,-2.5,-1,False,False,False
all_prior,2010,R64,Xavier,6,11,0.6666666666666666,-125,105,-1.5,11,True,True,False
all_prior,2010,R64,Pittsburgh,3,14,0.6111111111111112,-525,415,-9.5,23,True,True,False
all_prior,2010,R64,BYU,7,10,0.8115773115773116,-220,180,-5.0,7,True,True,False
all_prior,2010,R64,Kansas St.,2,15,0.9696969696969697,-2200,1450,-15.0,20,True,True,False
all_prior,2010,R32,Syracuse,1,8,0.7307692307692307,-290,245,-6.5,22,True,True,False
all_prior,2010,R32,Butler,5,13,0.7222222222222222,-190,165,-4.5,2,True,False,False
all_prior,2010,R32,Xavier,6,3,0.7222222222222223,115,-135,1.5,3,True,True,False
all_prior,2010,R32,Kansas St.,2,7,0.6666666666666666,-200,170,-4.5,12,True,True,False
all_prior,2010,S16,Syracuse,1,5,0.7222222222222222,-290,245,-6.0,-4,False,False,False
all_prior,2010,S16,Kansas St.,2,6,0.6196581196581196,-230,190,-5.0,5,True,False,True
all_prior,2010,E8,Kansas St.,2,5,0.7581699346405228,-195,165,-4.0,-7,False,False,False
all_prior,2010,R64,Kansas,1,16,0.9500891265597148,-25000,13000,-25.0,16,True,False,False
all_prior,2010,R64,UNLV,8,9,0.6752136752136751,-117,-103,-0.0,-3,False,False,False
all_prior,2010,R64,Michigan St.,5,12,0.9500891265597148,-1000,700,-13.0,3,True,False,False
all_prior,2010,R64,Maryland,4,13,0.9500891265597148,-525,415,-9.5,12,True,True,False
all_prior,2010,R64,Tennessee,6,11,0.7222222222222222,-155,135,-3.0,3,True,False,True
all_prior,2010,R64,Georgetown,3,14,0.8628593628593628,-1300,925,-14.0,-14,False,False,False
all_prior,2010,R64,Georgia Tech,10,7,0.5925925925925926,110,-130,2.0,5,True,True,False
all_prior,2010,R64,Ohio St.,2,15,0.8988070752776635,-3500,2250,-17.5,17,True,False,False
all_prior,2010,R32,Kansas,1,9,0.7667169431875314,-800,600,-11.0,-2,False,False,False
all_prior,2010,R32,Maryland,4,5,0.6666666666666666,-120,100,-1.0,-2,False,False,False
all_prior,2010,R32,Tennessee,6,14,0.9500891265597148,-440,350,-8.5,15,True,True,False
all_prior,2010,R32,Ohio St.,2,10,0.5,-300,250,-6.5,9,True,True,False
all_prior,2010,S16,Michigan St.,5,9,0.7581699346405228,-119,108,-1.5,7,True,True,False
all_prior,2010,S16,Ohio St.,2,6,0.5808080808080808,-220,180,-4.5,-3,False,False,False
all_prior,2010,E8,Michigan St.,5,6,0.7307692307692307,115,-135,2.0,1,True,True,False
all_prior,2010,F4,Duke,1,5,0.8179989944695826,-360,300,-7.0,2,True,False,False
all_prior,2011,R64,Pittsburgh,1,16,0.8634920634920634,-3700,2300,-18.5,23,True,True,False
all_prior,2011,R64,Butler,8,9,0.6092948717948717,106,-120,1.5,2,True,True,False
all_prior,2011,R64,Kansas St.,5,12,0.5926282051282051,-115,101,-1.5,5,True,True,False
all_prior,2011,R64,Wisconsin,4,13,0.5926282051282051,-181,164,-4.0,14,True,True,False
all_prior,2011,R64,St. John's,6,11,0.6092948717948717,100,-114,0.0,-15,False,False,False
all_prior,2011,R64,BYU,3,14,0.7410353535353535,-398,342,-8.5,8,True,False,False
all_prior,2011,R64,UCLA,7,10,0.5926282051282051,101,-115,1.0,2,True,True,False
all_prior,2011,R64,Florida,2,15,0.9777777777777779,-985,725,-12.5,28,True,True,False
all_prior,2011,R32,Pittsburgh,1,8,0.9851851851851853,-400,320,-8.0,-1,False,False,False
all_prior,2011,R32,Wisconsin,4,5,0.5926282051282051,-160,140,-3.5,5,True,True,False
all_prior,2011,R32,BYU,3,11,0.6465909090909091,105,-125,1.0,22,True,True,False
all_prior,2011,R32,Florida,2,7,0.6924242424242424,-245,205,-5.0,8,True,True,False
all_prior,2011,S16,Wisconsin,4,8,0.6375000000000001,-200,170,-4.5,-7,False,False,False
all_prior,2011,S16,Florida,2,3,0.5162393162393162,-145,125,-2.5,9,True,True,False
all_prior,2011,E8,Florida,2,8,0.9047619047619048,-200,170,-4.0,-3,False,False,False
all_prior,2011,R64,Kansas,1,16,0.8777777777777778,-15000,8000,-23.5,19,True,False,False
all_prior,2011,R64,UNLV,8,9,0.6382575757575758,-135,115,-2.0,-11,False,False,False
all_prior,2011,R64,Vanderbilt,5,12,0.7166666666666667,-152,138,-3.0,-3,False,False,False
all_prior,2011,R64,Louisville,4,13,0.6682359307359307,-550,455,-9.5,-1,False,False,False
all_prior,2011,R64,Georgetown,6,11,0.6682359307359307,-270,220,-5.5,-18,False,False,False
all_prior,2011,R64,Purdue,3,14,0.7140692640692641,-1700,1000,-15.0,22,True,True,False
all_prior,2011,R64,Texas A&M,7,10,0.5592948717948718,-115,-105,-0.0,-7,False,False,False
all_prior,2011,R64,Notre Dame,2,15,0.8354978354978355,-2000,1100,-14.0,13,True,False,False
all_prior,2011,R32,Kansas,1,9,0.8833333333333333,-450,350,-8.0,14,True,True,False
all_prior,2011,R32,Richmond,12,13,0.6465909090909091,-220,180,-4.5,17,True,True,False
all_prior,2011,R32,Purdue,3,11,1.0,-500,400,-10.0,-18,False,False,False
all_prior,2011,R32,Notre Dame,2,10,0.5875,-220,180,-4.5,-14,False,False,False
all_prior,2011,S16,Kansas,1,12,0.8777777777777778,-725,525,-10.5,20,True,True,False
all_prior,2011,S16,Florida St.,10,11,0.6092948717948717,-200,170,-4.5,-1,False,False,False
all_prior,2011,E8,Kansas,1,11,0.8634920634920634,-850,625,-11.5,-10,False,False,False
all_prior,2011,R64,Duke,1,16,0.8276094276094277,-20825,10675,-25.0,42,True,True,False
all_prior,2011,R64,Michigan,8,9,0.5926282051282051,-105,-115,0.0,30,True,True,False
all_prior,2011,R64,Arizona,5,12,0.6924242424242424,-265,215,-5.5,2,True,False,False
all_prior,2011,R64,Texas,4,13,0.7319444444444444,-700,500,-10.0,4,True,False,False
all_prior,2011,R64,Cincinnati,6,11,0.6884615384615386,-107,-107,1.0,15,True,True,False
all_prior,2011,R64,Connecticut,3,14,0.6375000000000001,-578,472,-10.5,29,True,True,False
all_prior,2011,R64,Temple,7,10,0.7047619047619048,-137,123,-2.0,2,True,False,True
all_prior,2011,R64,San Diego St.,2,15,0.8566618566618566,-1518,1132,-14.5,18,True,True,False
all_prior,2011,R32,Duke,1,8,0.7393518518518518,-1200,800,-13.0,2,True,False,False
all_prior,2011,R32,Texas,4,5,0.7166666666666667,-260,220,-5.5,-1,False,False,False
all_prior,2011,R32,Connecticut,3,6,0.6009615384615384,-190,160,-4.0,11,True,True,False
