window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2010,E8,West Virginia,2,1,0.5800000000000001,175,-205,4.5,7,True,True,False
all_prior,2010,R64,Syracuse,1,16,0.94,-2800,1800,-15.5,23,True,True,False
all_prior,2010,R64,Florida St.,9,8,0.62,-118,-102,-1.0,-7,False,False,False
all_prior,2010,R64,UTEP,12,5,0.56,130,-150,2.5,-18,False,False,False
all_prior,2010,R64,Vanderbilt,4,13,0.6,-145,125,-2.5,-1,False,False,False
all_prior,2010,R64,Minnesota,11,6,0.54,105,-125,1.5,-11,False,False,False
all_prior,2010,R64,Pittsburgh,3,14,0.84,-525,415,-9.5,23,True,True,False
all_prior,2010,R64,BYU,7,10,0.84,-220,180,-5.0,7,True,True,False
all_prior,2010,R64,Kansas St.,2,15,0.94,-2200,1450,-15.0,20,True,True,False
all_prior,2010,R32,Syracuse,1,8,0.66,-290,245,-6.5,22,True,True,False
all_prior,2010,R32,Butler,5,13,0.62,-190,165,-4.5,2,True,False,False
all_prior,2010,R32,Pittsburgh,3,6,0.5,-135,115,-1.5,-3,False,False,False
all_prior,2010,R32,BYU,7,2,0.52,170,-200,4.5,-12,False,False,False
all_prior,2010,S16,Syracuse,1,5,0.74,-290,245,-6.0,-4,False,False,False
all_prior,2010,S16,Kansas St.,2,6,0.5,-230,190,-5.0,5,True,False,True
all_prior,2010,E8,Kansas St.,2,5,0.76,-195,165,-4.0,-7,False,False,False
all_prior,2010,R64,Kansas,1,16,0.98,-25000,13000,-25.0,16,True,False,False
all_prior,2010,R64,UNLV,8,9,0.56,-117,-103,-0.0,-3,False,False,False
all_prior,2010,R64,Michigan St.,5,12,0.76,-1000,700,-13.0,3,True,False,False
all_prior,2010,R64,Maryland,4,13,0.96,-525,415,-9.5,12,True,True,False
all_prior,2010,R64,Tennessee,6,11,0.78,-155,135,-3.0,3,True,False,True
all_prior,2010,R64,Georgetown,3,14,0.78,-1300,925,-14.0,-14,False,False,False
all_prior,2010,R64,Georgia Tech,10,7,0.56,110,-130,2.0,5,True,True,False
all_prior,2010,R64,Ohio St.,2,15,0.82,-3500,2250,-17.5,17,True,False,False
all_prior,2010,R32,Kansas,1,9,0.78,-800,600,-11.0,-2,False,False,False
all_prior,2010,R32,Michigan St.,5,4,0.56,100,-120,1.0,2,True,True,False
all_prior,2010,R32,Tennessee,6,14,0.98,-440,350,-8.5,15,True,True,False
all_prior,2010,R32,Ohio St.,2,10,0.6,-300,250,-6.5,9,True,True,False
all_prior,2010,S16,Michigan St.,5,9,0.68,-119,108,-1.5,7,True,True,False
all_prior,2010,S16,Ohio St.,2,6,0.6,-220,180,-4.5,-3,False,False,False
all_prior,2010,E8,Michigan St.,5,6,0.66,115,-135,2.0,1,True,True,False
all_prior,2010,F4,Duke,1,5,0.7,-360,300,-7.0,2,True,False,False
all_prior,2011,R64,Pittsburgh,1,16,0.84,-3700,2300,-18.5,23,True,True,False
all_prior,2011,R64,Old Dominion,9,8,0.54,-120,106,-1.5,-2,False,False,False
all_prior,2011,R64,Kansas St.,5,12,0.5,-115,101,-1.5,5,True,True,False
