YEAR,DATE,AWAY,HOME,NEUTRAL,ML_AWAY,ML_HOME,AWAY_KEY,HOME_KEY
2008,2007-11-13,LongBeachState,MontanaState,True,425,-550,longbeachstate,montanastate
2008,2007-11-13,Xavier,MiamiOhio,False,-220,180,xavier,miamioh
2008,2007-11-14,RhodeIsland,Brown,False,-230,190,rhodeisland,brown
2008,2007-11-14,WiscMilwaukee,BallState,False,-135,115,milwaukee,ballstate
2008,2007-11-14,IndianaState,Butler,False,700,-1100,indianastate,butler
2008,2007-11-14,DetroitU,SaintLouis,False,500,-700,detroit,saintlouis
2008,2007-11-14,Yale,Massachusetts,False,500,-700,yale,massachusetts
2008,2007-11-14,OklahomaState,NorthTexas,False,-275,235,oklahomastate,northtexas
2008,2007-11-14,IowaState,Bradley,False,475,-650,iowastate,bradley
2008,2007-11-14,UCDavis,NewMexicoState,False,1250,-2000,ucdavis,newmexicostate
2008,2007-11-14,SoMississippi,California,False,270,-330,somississippi,california
2008,2007-11-14,NorthMichigan,ChicagoSt.,True,170,-200,northmichigan,chicagostate
2008,2007-11-14,ULMonroe,MichiganSt.,False,2250,-4500,ulmonroe,michiganstate
2008,2007-11-14,OralRoberts,TexasA&MCorpus,True,-480,383,oralroberts,texasaandmcorpus
2008,2007-11-14,UTEP,TexasA&M,False,775,-1200,utep,texasaandm
2008,2007-11-14,NorthCarolina,Davidson,False,-750,525,northcarolina,davidson
2008,2007-11-14,Iona,Princeton,False,240,-280,iona,princeton
2008,2007-11-14,SEMissouriSt,IllinoisState,False,1250,-2000,semissouristate,illinoisstate
2008,2007-11-14,NorthernColorado,Iowa,False,1100,-1700,northerncolorado,iowa
2008,2007-11-14,IdahoState,BYU,False,1250,-2000,idahostate,byu
2008,2007-11-15,William&Mary,NCState,False,1000,-1500,williamandmary,northcarolinastate
2008,2007-11-15,Michigan,Georgetown,False,650,-900,michigan,georgetown
2008,2007-11-15,Stanford,Northwestern,False,-370,310,stanford,northwestern
2008,2007-11-15,Clemson,MississippiSt,False,165,-190,clemson,mississippistate
2008,2007-11-15,Northeastern,Maryland,False,1250,-2000,northeastern,maryland
2008,2007-11-15,UtahState,CalPolySLO,False,135,-155,utahstate,calpoly
2008,2007-11-15,HoustonU,VaCommonwealth,False,-135,115,houston,vcu
2008,2007-11-15,Marist,MiamiFlorida,False,305,-365,maristate,miamifl
2008,2007-11-15,Temple,Providence,False,190,-230,temple,providence
2008,2007-11-15,CollCharleston,Arkansas,False,850,-1300,collegeofcharleston,arkansas
2008,2007-11-15,Lipscomb,AppalachianSt,True,285,-345,lipscomb,appalachianstate
2008,2007-11-15,SanJoseState,MiddleTennSt,False,450,-600,sanjosestate,middletennessee
2008,2007-11-15,GardnerWebb,Connecticut,True,700,-1100,gardnerwebb,connecticut
2008,2007-11-15,Oklahoma,MemphisU,True,240,-280,oklahoma,memphis
2008,2007-11-15,TennesseeState,AlaskaFairbanks,False,-200,170,tennesseestate,alaskafairbanks
2008,2007-11-15,ColoradoState,OregonState,True,235,-275,coloradostate,oregonstate
2008,2007-11-15,USC,TheCitadel,False,-2500,1400,usc,thecitadel
2008,2007-11-15,CalRiverside,E.Washington,False,130,-150,calriverside,easternwashington
2008,2007-11-16,Fordham,Syracuse,False,475,-600,fordham,syracuse
2008,2007-11-16,Toledo,OldDominion,False,365,-435,toledo,olddominion
2008,2007-11-16,WesternMichigan,LoyolaChicago,False,105,-125,westernmichigan,loyolachicago
2008,2007-11-16,ArkansasState,Tulsa,False,395,-475,arkansasstate,tulsa
2008,2007-11-16,UCDavis,Texas,False,2000,-4000,ucdavis,texas
2008,2007-11-16,ULLafayette,LouisianaTech,False,150,-170,louisianalafayette,louisianatech
2008,2007-11-16,IdahoU,WashingtonState,False,2500,-5000,idaho,washingtonstate
2008,2007-11-16,Illinois,Hawaii,False,-165,145,illinois,hawaii
2008,2007-11-16,Marist,HoustonU,True,550,-700,maristate,houston
2008,2007-11-16,MiamiFlorida,VaCommonwealth,True,-160,140,miamifl,vcu
2008,2007-11-16,Providence,Arkansas,True,235,-275,providence,arkansas
2008,2007-11-16,CollCharleston,Temple,True,190,-230,collegeofcharleston,temple
2008,2007-11-16,ClevelandState,GeorgiaSouthern,True,-130,110,clevelandstate,georgiasouthern
2008,2007-11-16,RhodeIsland,SouthFlorida,True,-275,235,rhodeisland,southflorida
2008,2007-11-16,FlaAtlantic,Stetson,True,-450,370,flaatlantic,stetson
2008,2007-11-16,FloridaState,UAB,True,-145,125,floridastate,uab
2008,2007-11-16,NCCharlotte,GeorgiaTech,True,370,-450,nccharlotte,georgiatech
2008,2007-11-16,IllinoisChicago,Winthrop,True,155,-175,illinoischicago,winthrop
2008,2007-11-16,Baylor,WichitaState,True,-230,190,baylor,wichitastate
2008,2007-11-16,Monmouth,NotreDame,True,1150,-1800,monmouth,notredame
2008,2007-11-16,AppalachianSt,SanJoseState,True,-275,235,appalachianstate,sanjosestate
2008,2007-11-16,Lipscomb,MiddleTennSt,False,400,-500,lipscomb,middletennessee
2008,2007-11-16,GardnerWebb,Oklahoma,True,600,-800,gardnerwebb,oklahoma
2008,2007-11-16,Connecticut,MemphisU,True,315,-375,connecticut,memphis
2008,2007-11-16,St.Bonaventure,LoyolaMarymount,True,-170,150,statebonaventure,loyolamarymount
2008,2007-11-16,Presbyterian,NewMexico,False,4000,-10000,presbyterian,newmexico
2008,2007-11-16,SCarUpstate,Akron,True,2500,-5000,scarupstate,akron
2008,2007-11-16,PortlandState,IUPUI,True,125,-145,portlandstate,iupui
2008,2007-11-16,Canisius,PennState,False,1315,-2200,canisius,pennstate
2008,2007-11-16,CentralMichigan,Niagara,False,120,-140,centralmichigan,niagara
2008,2007-11-16,BoiseState,MontanaState,False,-120,100,boisestate,montanastate
2008,2007-11-17,Northwestern,Depaul,False,475,-650,northwestern,depaul
2008,2007-11-17,IndianaState,NorthTexas,False,190,-230,indianastate,northtexas
2008,2007-11-17,Cornell,Ohio,False,430,-560,cornell,ohio
2008,2007-11-17,JamesMadison,Dartmouth,False,-155,135,jamesmadison,dartmouth
2008,2007-11-17,Rutgers,Florida,False,1100,-1700,rutgers,florida
2008,2007-11-17,Dayton,GeorgeMason,False,360,-450,dayton,georgemason
2008,2007-11-17,WiscGreenBay,Massachusetts,False,422,-540,greenbay,massachusetts
2008,2007-11-17,USC,SouthCarolina,False,160,-185,usc,southcarolina
2008,2007-11-17,Butler,Evansville,False,-550,425,butler,evansville
2008,2007-11-17,NoIllinois,SoIllinois,False,1900,-3800,noillinois,soillinois
2008,2007-11-17,Colorado,Wisconsin,False,1440,-2700,colorado,wisconsin
2008,2007-11-17,CalRiverside,Gonzaga,False,2625,-5500,calriverside,gonzaga
2008,2007-11-17,Duquesne,Rice,False,-460,365,duquesne,rice
2008,2007-11-17,Virginia,Arizona,False,260,-320,virginia,arizona
2008,2007-11-17,UNLV,SanDiego,False,110,-130,unlv,sandiego
2008,2007-11-17,CSNorthridge,Pepperdine,False,105,-125,calstatenorthridge,pepperdine
2008,2007-11-17,UtahState,CalIrvine,False,145,-165,utahstate,ucirvine
2008,2007-11-17,Oregon,PortlandU,False,-1200,775,oregon,portland
2008,2007-11-17,SantaClara,Nevada,False,380,-475,santaclara,nevada
2008,2007-11-17,SouthFlorida,FlaAtlantic,True,-170,150,southflorida,flaatlantic
2008,2007-11-17,GeorgiaSouthern,UAB,True,525,-750,georgiasouthern,uab
2008,2007-11-17,FloridaState,ClevelandState,True,-1100,700,floridastate,clevelandstate
2008,2007-11-17,RhodeIsland,Stetson,True,-3000,1500,rhodeisland,stetson
2008,2007-11-17,IllinoisChicago,NCCharlotte,True,165,-190,illinoischicago,nccharlotte
2008,2007-11-17,Monmouth,WichitaState,True,400,-500,monmouth,wichitastate
2008,2007-11-17,TennesseeState,ColoradoState,True,-120,100,tennesseestate,coloradostate
2008,2007-11-17,SCarUpstate,IUPUI,True,1200,-1900,scarupstate,iupui
2008,2007-11-17,PortlandState,Akron,True,235,-275,portlandstate,akron
2008,2007-11-17,Lipscomb,SanJoseState,True,175,-210,lipscomb,sanjosestate
2008,2007-11-17,AppalachianSt,MiddleTennSt,False,115,-135,appalachianstate,middletennessee
2008,2007-11-17,Presbyterian,LoyolaMarymount,True,270,-330,presbyterian,loyolamarymount
2008,2007-11-17,St.Bonaventure,NewMexico,False,1500,-3000,statebonaventure,newmexico
2008,2007-11-17,Stanford,Siena,False,-350,290,stanford,siena
2008,2007-11-17,MoreheadState,BowlingGreen,False,550,-800,moreheadstate,bowlinggreen
2008,2007-11-17,Delaware,Rider,False,270,-330,delaware,rider
2008,2007-11-17,Manhattan,Hofstra,False,200,-240,manhattan,hofstra
2008,2007-11-17,IdahoState,LongBeachState,False,-125,105,idahostate,longbeachstate
2008,2007-11-17,GeorgiaState,Elon,False,175,-210,georgiastate,elon
2008,2007-11-17,TennMartin,MississippiSt,False,2250,-4500,tennmartin,mississippistate
2008,2007-11-17,MurrayState,WesternKentucky,False,575,-850,murraystate,westernkentucky
2008,2007-11-17,Furman,SaintLouis,False,1400,-2500,furman,saintlouis
2008,2007-11-17,NCGreensboro,MissouriSt,False,315,-380,uncgreensboro,missouristate
