group,bin_mid,n,sum_pred,sum_actual
nonconf,0.775,1600,1240.222381598076,1240.0
nonconf,0.8250000000000001,1921,1587.8225031247662,1591.0
nonconf,0.875,2475,2168.9336913092843,2159.0
nonconf,0.925,3374,3126.849687698929,3134.0
nonconf,0.9750000000000001,8267,8125.136601338121,8105.0
postseason,0.025,14,0.33954373364655377,0.0
postseason,0.07500000000000001,15,1.1738017337626676,0.0
postseason,0.125,26,3.4066368940333533,1.0
postseason,0.17500000000000002,41,7.223118689808142,5.0
postseason,0.225,53,12.019688219848478,10.0
postseason,0.275,53,14.490061555916107,8.0
postseason,0.32500000000000007,72,23.05263820210193,18.0
postseason,0.375,70,26.45217069643248,22.0
postseason,0.42500000000000004,69,29.489735958363404,24.0
postseason,0.475,66,31.29050176216147,26.0
postseason,0.525,97,50.730141914458784,56.0
postseason,0.5750000000000001,108,62.29332741875891,53.0
postseason,0.625,137,85.67029508790722,69.0
postseason,0.675,155,104.75283106824024,100.0
postseason,0.7250000000000001,170,123.18672347256964,113.0
postseason,0.775,177,137.1010306929826,149.0
postseason,0.8250000000000001,202,166.95119447658217,178.0
postseason,0.875,160,140.08157311794824,143.0
postseason,0.925,147,135.70721207862834,137.0
postseason,0.9750000000000001,130,127.23574449388667,123.0
